Tanggal,Target Vaksinasi Tenaga Kesehatan,Vaksinasi 1 Tenaga Kesehatan,Vaksinasi 2 Tenaga Kesehatan,Target Vaksinasi Lansia,Vaksinasi 1 Lansia,Vaksinasi 2 Lansia,Target Vaksinasi Pelayan Publik,Vaksinasi 1 Pelayan Publik,Vaksinasi 2 Pelayan Publik,Target Vaksinasi Total,Vaksinasi 1 Total,Vaksinasi 2 Total
05/03/2021,112301,141425,91078,911631,76451,0,1976757,64121,0,3000689,281997,91078
06/03/2021,112301,144046,91379,911631,79421,0,1976757,66484,0,3000689,289951,91379
07/03/2021,112301,177126,91460,911631,83628,0,1976757,73752,2514,3000689,334506,93974
08/03/2021,112301,181237,92988,911631,95140,1,1976757,85333,3989,3000689,361710,96978
09/03/2021,112301,113326,89984,911631,135128,675,1976757,174685,29195,3000689,423139,119854
10/03/2021,112301,116791,90681,911631,154251,1100,1976757,202452,17773,3000689,473494,109554
11/03/2021,112301,116823,90693,911631,154915,1103,1976757,211754,17903,3000689,483492,109699
12/03/2021,112301,118086,91521,911631,167086,1291,1976757,234403,20226,3000689,519575,113038
13/03/2021,112301,118283,91748,911631,174327,1444,1976757,245355,21272,3000689,537965,114464
14/03/2021,112301,118301,91764,911631,179024,1444,1976757,252763,21413,3000689,550088,114621
15/03/2021,112301,118983,92579,911631,197743,1620,1976757,282970,29871,3000689,599696,124070
16/03/2021,112301,119531,93559,911631,216011,1754,1976757,312415,43891,3000689,647957,139204
17/03/2021,112301,120003,94619,911631,236230,1963,1976757,336132,63154,3000689,692365,159736
18/03/2021,112301,120608,99980,911631,257159,2040,1976757,356592,82412,3000689,734359,184432
19/03/2021,112301,121260,97465,911631,280221,2168,1976757,409121,99709,3000689,810602,199342
20/03/2021,112301,121373,97612,911631,287749,2585,1976757,415447,103069,3000689,824569,203266
21/03/2021,112301,121483,97660,911631,296700,2696,1976757,428256,103939,3000689,846439,204295
22/03/2021,112301,121834,98956,911631,314312,5263,1976757,443083,124036,3000689,879229,228255
23/03/2021,112301,122199,100218,911631,337760,9693,1976757,465428,148494,3000689,925387,258405
24/03/2021,112301,122616,101248,911631,373557,15380,1976757,501557,177455,3000689,997730,294083
25/03/2021,112301,122916,101602,911631,394412,22109,1976757,529155,187424,3000689,1046483,311135
26/03/2021,112301,123199,102584,911631,414506,29341,1976757,554981,211347,3000689,1092686,343272
27/03/2021,112301,123199,102672,911631,425054,31070,1976757,573482,217379,3000689,1121735,351121
28/03/2021,112301,123199,102692,911631,431190,31149,1976757,585999,219264,3000689,1140388,353105
29/03/2021,112301,123199,103537,911631,444817,42494,1976757,610227,242034,3000689,1178243,388065
30/03/2021,112301,123199,104246,911631,460787,54834,1976757,636631,266245,3000689,1220617,425325
31/03/2021,112301,123199,104773,911631,475190,66739,1976757,668989,287470,3000689,1267378,458982
01/04/2021,112301,124396,107368,911631,477295,77431,1976757,699688,300935,3000689,1301379,485734
02/04/2021,112301,124396,107368,911631,485807,80541,1976757,715419,302306,3000689,1325622,490215
03/04/2021,112301,121845,105485,911631,487262,83140,1976757,730364,305602,3000689,1339471,494227
04/04/2021,112301,121850,105514,911631,488136,83786,1976757,742355,308776,3000689,1352341,498076
05/04/2021,112301,122092,106037,911631,493235,109251,1976757,771861,330815,3000689,1387188,546103
06/04/2021,112301,122326,106437,911631,496569,124880,1976757,796248,349648,3000689,1415143,580965
07/04/2021,112301,122553,106800,911631,500370,142698,1976757,813740,369813,3000689,1436663,619311
08/04/2021,112301,123061,107175,911631,507667,148824,1976757,844961,388298,3000689,1475689,644297
09/04/2021,112301,123387,107509,911631,516816,166705,1976757,866503,402918,3000689,1506706,677132
10/04/2021,112301,123474,107573,911631,523861,173234,1976757,880884,406805,3000689,1528219,687612
11/04/2021,112301,123485,107583,911631,526687,177883,1976757,887215,412014,3000689,1537387,697480
12/04/2021,112301,123958,107968,911631,537125,196464,1976757,907936,424562,3000689,1569019,728994
13/04/2021,112301,124255,108205,911631,540904,210810,1976757,918905,430157,3000689,1584064,749172
14/04/2021,112301,124484,108418,911631,543256,231255,1976757,930601,443508,3000689,1598341,783181
15/04/2021,112301,124755,108761,911631,545822,252371,1976757,944880,452555,3000689,1615457,813687
16/04/2021,112301,125148,109038,911631,548314,272887,1976757,959985,458619,3000689,1633447,840544
17/04/2021,112301,125188,109105,911631,549011,278295,1976757,967733,461648,3000689,1641932,849048
18/04/2021,112301,125193,109105,911631,549394,281756,1976757,971708,466276,3000689,1646295,857137
19/04/2021,112301,125459,109299,911631,552556,308789,1976757,990548,475981,3000689,1668563,894069
20/04/2021,112301,125568,109421,911631,554268,320304,1976757,1007563,481378,3000689,1687399,911103
21/04/2021,112301,125808,109615,911631,556786,341170,1976757,1025472,493120,3000689,1708066,943905
22/04/2021,112301,126323,109990,911631,561547,370371,1976757,1058587,515356,3000689,1746457,995717
23/04/2021,112301,126594,110213,911631,564499,387901,1976757,1079773,530125,3000689,1770866,1028239
24/04/2021,112301,126594,110213,911631,564499,387901,1976757,1079773,530125,3000689,1770866,1028239
